rank,from,to,pair,tier,evidence,monthly_search_volume,region,category_from,category_to,conversion_kind,source_url
37,doc,pdf,"doc to pdf",TIER-2,enumerated (heuristic order),,,document,document,same-category,https://cloudconvert.com/formats
42,ai,pdf,"ai to pdf",TIER-2,enumerated (heuristic order),,,vector,document,cross-category,https://cloudconvert.com/vector-converter
55,ppt,pdf,"ppt to pdf",TIER-2,enumerated (heuristic order),,,presentation,document,cross-category,https://cloudconvert.com/presentation-converter
61,pdf,doc,"pdf to doc",TIER-2,enumerated (heuristic order),,,document,document,same-category,https://cloudconvert.com/formats
66,pages,pdf,"pages to pdf",TIER-2,enumerated (heuristic order),,,document,document,same-category,https://cloudconvert.com/formats
68,pdf,gif,"pdf to gif",TIER-2,enumerated (heuristic order),,,document,image,cross-category,https://cloudconvert.com/formats
69,pdf,heic,"pdf to heic",TIER-2,enumerated (heuristic order),,,document,image,cross-category,https://cloudconvert.com/formats
70,pdf,jpeg,"pdf to jpeg",TIER-2,enumerated (heuristic order),,,document,image,cross-category,https://cloudconvert.com/formats
71,pdf,mobi,"pdf to mobi",TIER-2,enumerated (heuristic order),,,document,ebook,cross-category,https://cloudconvert.com/formats
72,pdf,ppt,"pdf to ppt",TIER-2,enumerated (heuristic order),,,document,presentation,cross-category,https://cloudconvert.com/formats
73,pdf,svg,"pdf to svg",TIER-2,enumerated (heuristic order),,,document,image,cross-category,https://cloudconvert.com/formats
74,pdf,webp,"pdf to webp",TIER-2,enumerated (heuristic order),,,document,image,cross-category,https://cloudconvert.com/formats
80,azw3,pdf,"azw3 to pdf",TIER-2,enumerated (heuristic order),,,ebook,document,cross-category,https://cloudconvert.com/ebook-converter
82,cbr,pdf,"cbr to pdf",TIER-2,enumerated (heuristic order),,,ebook,document,cross-category,https://cloudconvert.com/ebook-converter
83,cbz,pdf,"cbz to pdf",TIER-2,enumerated (heuristic order),,,ebook,document,cross-category,https://cloudconvert.com/ebook-converter
84,cdr,pdf,"cdr to pdf",TIER-2,enumerated (heuristic order),,,vector,document,cross-category,https://cloudconvert.com/vector-converter
88,doc,docx,"doc to docx",TIER-2,enumerated (heuristic order),,,document,document,same-category,https://cloudconvert.com/formats
89,dxf,pdf,"dxf to pdf",TIER-2,enumerated (heuristic order),,,vector,document,cross-category,https://cloudconvert.com/vector-converter
104,key,pdf,"key to pdf",TIER-2,enumerated (heuristic order),,,presentation,document,cross-category,https://cloudconvert.com/presentation-converter
